,datetime,pnl_sum,return
432,2025-05-30 09:35:00,-5600.494026270076,-0.0005600494026270075
433,2025-05-30 09:45:00,-4200.412527744051,-0.0004200412527744051
434,2025-05-30 09:55:00,-3700.1429784765824,-0.0003700142978476582
435,2025-05-30 10:05:00,-3500.03613518526,-0.00035000361351852596
436,2025-05-30 10:15:00,-750.5060553288009,-7.50506055328801e-05
437,2025-05-30 10:25:00,-1950.2215689884567,-0.00019502215689884569
438,2025-05-30 10:35:00,-3550.282419832338,-0.00035502824198323376
439,2025-05-30 10:45:00,-4500.173227410533,-0.0004500173227410533
440,2025-05-30 10:55:00,-4450.060228239343,-0.00044500602282393427
441,2025-05-30 11:05:00,-4350.052150950736,-0.0004350052150950736
442,2025-05-30 11:15:00,-4450.08238259018,-0.000445008238259018
443,2025-05-30 11:25:00,-3550.1485865685927,-0.0003550148586568593
444,2025-05-30 12:30:00,-1300.359269414696,-0.0001300359269414696
445,2025-05-30 12:40:00,-1550.054546765256,-0.0001550054546765256
446,2025-05-30 12:50:00,-1500.0568969271758,-0.00015000568969271758
447,2025-05-30 13:00:00,-1050.0668038473614,-0.00010500668038473613
448,2025-05-30 13:10:00,-1500.0582053250375,-0.00015000582053250374
449,2025-05-30 13:20:00,-2150.0907711562877,-0.00021500907711562877
450,2025-05-30 13:30:00,-1700.060710862177,-0.00017000607108621772
451,2025-05-30 13:40:00,-1600.0137761373162,-0.00016000137761373163
452,2025-05-30 13:50:00,-1650.017456408806,-0.0001650017456408806
453,2025-05-30 14:00:00,-2400.080021472527,-0.0002400080021472527
454,2025-05-30 14:10:00,-2300.0129416538603,-0.00023000129416538603
455,2025-05-30 14:20:00,-1950.0540237929847,-0.00019500540237929847
456,2025-05-30 14:30:00,-2500.077212626088,-0.00025000772126260884
457,2025-05-30 14:40:00,-3550.1121136344955,-0.00035501121136344955
458,2025-05-30 14:50:00,-3300.036928572342,-0.0003300036928572342
459,2025-05-30 15:00:00,-2650.063269828017,-0.0002650063269828017
460,2025-06-02 09:05:00,224.0,2.24e-05
461,2025-06-02 09:15:00,1043.0,0.0001043
462,2025-06-02 09:25:00,1085.0,0.0001085
463,2025-06-02 09:35:00,1409.1277058338706,0.00014091277058338707
464,2025-06-02 09:45:00,1539.0,0.0001539
465,2025-06-02 09:55:00,1647.0,0.0001647
